,0,3,1,2,5,4,6,7,8,9
0,AW112010,Rps29,Hmgb2,Ifi27l2a,Arhgap15,Cd8b1,Cd74,Hbb-bt,Trbv15,Tyrobp
1,S100a11,Rps27,Pclaf,Cxcr3,Dock2,Cd8a,H2-Eb1,Hba-a2,Rps3a1,Fcer1g
2,Plac8,Rps16,Birc5,Il2rb,Mbnl1,Rps15a,H2-Aa,Hba-a1,Rps16,Ifitm3
3,Ly6a,Rps24,H2afz,Izumo1r,Ptprc,Rps5,H2-Ab1,Hbb-bs,Rpl19,Lyn
4,S100a10,Rpl21,Stmn1,AW112010,Inpp4b,Rpl13,Cd79a,Alas2,Rps10,Ifitm2
5,Hopx,Rps21,Mki67,Rac2,Malat1,Rps3a1,Cd79b,Bpgm,Rps27,Fth1
6,Tmsb4x,Rpl12,Ptma,H2-K1,Skap1,Rplp1,Ly6d,Ube2l6,Rpl8,Spi1
7,S100a6,Rps19,Cks1b,Cst7,Foxp1,Rps24,Fcmr,Mkrn1,Rps7,Alox5ap
8,Actg1,Rpl30,Top2a,Hopx,Ankrd44,Rps18,Ms4a1,Snca,Rps24,Lyz2
9,Lgals1,Rps7,Rrm2,Srgn,Gm2682,Rps7,Iglc2,Tent5c,Rpl30,Cybb
10,Ccl5,Rpl19,Ccna2,Ptpn18,Utrn,Rpl32,Bank1,Gabarapl2,Rpl21,Ftl1
11,Glrx,Tpt1,Lmnb1,Sh2d1a,Elmo1,Rpl23,Iglc3,Bnip3l,Rps4x,Cd74
12,Srgn,Rpl8,Tubb5,Ikzf2,Maml2,Rps10,H2-DMb2,Apol11b,Rps20,Hck
13,Myl6,Rps8,Cdca8,Ctsb,Grap2,Rpl35a,Ebf1,Isg20,Rpl35a,Cebpb
14,Cxcr6,Rps4x,Hmgb1,Ucp2,Ikzf1,Rps3,Unc93b1,Oaz1,Tpt1,Prdx5
15,Prr13,Rps27a,Ran,Cd3d,Prkcq,Rps28,Igkc,Gpx1,Rps27a,Wfdc17
16,S100a13,Rpl35a,Ube2s,B2m,Macf1,Rps4x,Ly86,Ubb,Rps23,H2-Ab1
17,Aldoa,Rps28,Tubb4b,Cd3e,Dock10,Rpl37a,Mef2c,Creg1,Rps15a,H2-Aa
18,Gimap7,Rps20,Smc2,Shisa5,Ripor2,Rps20,Napsa,Rsad2,Rps14,Ctsz
19,Ctsd,Rpl9,Ccnb2,Hcst,Bach2,Eef1a1,Cd19,Ftl1,Rpl18a,Ctsh
20,Actb,Rpl23,Spc24,Ptprcap,Akap13,Rps8,Lyn,Slc25a39,Rpl23,H2-Eb1
21,Nkg7,Rps23,Hmgn2,Mrpl52,Satb1,Rpl30,H2-Ob,Fech,Rpl13,Mpeg1
22,Anxa2,Rps3a1,Cks2,Pfdn5,Themis,Rps27a,H2-Oa,Sec61g,Rps13,Lst1
23,Id2,Rps10,Cdk1,Ccl5,Prkch,Rpl10a,Cd37,Adipor1,Rplp1,Atp6v0c
24,Ctla2a,Rpl27a,Cdca3,Myl12b,Zbtb20,Rpl21,H2-DMa,Gda,Rpl9,Pirb
